Mutant ID	SRA accession	Capture ID	Batch
Kronos0-1	SRX688079	KTC1	1
Kronos166	SRX688097	KTC1	1
Kronos199	SRX688114	KTC1	1
Kronos447	SRX688221	KTC1	1
Kronos499	SRX688241	KTC1	1
Kronos910	SRX688360	KTC1	1
Kronos2189	SRX2434127	KTC1	1
Kronos2711	SRX2433941	KTC1	1
Kronos628	SRX688282	KTC2	1
Kronos684	SRX688296	KTC2	1
Kronos2214	SRX688517	KTC2	1
Kronos2285	SRX688522	KTC2	1
Kronos2332	SRX688526	KTC2	1
Kronos2553	SRX688543	KTC2	1
Kronos2646	SRX688549	KTC2	1
Kronos2876	SRX688552	KTC2	1
Kronos2092	SRX688507	KTC3	1
Kronos2169	SRX688509	KTC3	1
Kronos184	SRX688106	KTC4	2
Kronos198	SRX688113	KTC4	2
Kronos203	SRX688115	KTC4	2
Kronos209	SRX688122	KTC4	2
Kronos229	SRX688130	KTC4	2
Kronos244	SRX688135	KTC4	2
Kronos620	SRX688281	KTC4	2
Kronos1023	SRX688380	KTC4	2
Kronos257	SRX688138	KTC5	2
Kronos311	SRX688151	KTC5	2
Kronos375	SRX688175	KTC5	2
Kronos381	SRX688179	KTC5	2
Kronos390	SRX688184	KTC5	2
Kronos403	SRX688193	KTC5	2
Kronos439	SRX688215	KTC5	2
Kronos440	SRX688216	KTC5	2
Kronos456	SRX688225	KTC6	3
Kronos563	SRX688257	KTC6	3
Kronos581	SRX688267	KTC6	3
Kronos601	SRX688277	KTC6	3
Kronos807	SRX688326	KTC6	3
Kronos1118	#N/A	KTC6	#N/A
Kronos1172	SRX688410	KTC6	3
Kronos1213	SRX688417	KTC6	3
Kronos1382	SRX688452	KTC7	3
Kronos1410	SRX688456	KTC7	3
Kronos1426	SRX688457	KTC7	3
Kronos2005	SRX688464	KTC7	3
Kronos2025	SRX688477	KTC7	3
Kronos2041	SRX688488	KTC7	3
Kronos2042	SRX688489	KTC7	3
Kronos2064	SRX688498	KTC7	3
Kronos2149	SRX688508	KTC8	3
Kronos2176	SRX688511	KTC8	3
Kronos2182	SRX688512	KTC8	3
Kronos2187	SRX688513	KTC8	3
Kronos2194	SRX688515	KTC8	3
Kronos2214	SRX688517	KTC8	3
Kronos0-1	SRX688079	KTC8	3
Kronos2254	SRX688519	KTC8	3
Kronos2267	SRX688520	KTC9	1
Kronos2275	SRX688521	KTC9	1
Kronos2279	#N/A	KTC9	#N/A
Kronos2296	SRX688523	KTC9	1
Kronos2316	SRX688524	KTC9	1
Kronos2322	SRX688525	KTC9	1
Kronos2394	#N/A	KTC9	#N/A
Kronos2480	SRX688534	KTC9	1
Kronos2543	SRX688540	KTC10	4
Kronos2579	SRX688546	KTC10	4
Kronos2594	SRX688547	KTC10	4
Kronos2623	SRX688548	KTC10	4
Kronos2649	SRX688550	KTC10	4
Kronos2889	SRX688553	KTC10	4
Kronos82	SRX688081	KTC10	4
Kronos85	SRX688082	KTC10	4
Kronos86	SRX688083	KTC11	4
Kronos92	SRX688084	KTC11	4
Kronos95	SRX688085	KTC11	4
Kronos98	SRX688086	KTC11	4
Kronos100	#N/A	KTC11	#N/A
Kronos110	SRX688088	KTC11	4
Kronos111	SRX688089	KTC11	4
Kronos112	SRX688090	KTC11	4
Kronos114	SRX688091	KTC12	4
Kronos118	SRX688092	KTC12	4
Kronos119	SRX688093	KTC12	4
Kronos157	SRX688094	KTC12	4
Kronos160	SRX688095	KTC12	4
Kronos162	SRX688096	KTC12	4
Kronos167	SRX688098	KTC12	4
Kronos169	SRX688099	KTC12	4
Kronos170	SRX688100	KTC13	5
Kronos171	SRX688101	KTC13	5
Kronos176	SRX688102	KTC13	5
Kronos177	SRX2434126	KTC13	5
Kronos178	SRX688104	KTC13	5
Kronos181	SRX688105	KTC13	5
Kronos185	SRX688107	KTC13	5
Kronos193	SRX688108	KTC13	5
Kronos3669	SRX688555	KTC14	5
Kronos194	SRX688110	KTC14	5
Kronos195	SRX688112	KTC14	5
Kronos205	SRX688117	KTC14	5
Kronos207	SRX688119	KTC14	5
Kronos208	SRX688121	KTC14	5
Kronos212	SRX688124	KTC14	5
Kronos213	SRX688126	KTC14	5
Kronos214	SRX688127	KTC15	5
Kronos220	SRX688128	KTC15	5
Kronos228	SRX688129	KTC15	5
Kronos232	SRX688131	KTC15	5
Kronos234	SRX688132	KTC15	5
Kronos238	SRX688133	KTC15	5
Kronos243	SRX688134	KTC15	5
Kronos247	SRX688136	KTC15	5
Kronos255	SRX688137	KTC16	6
Kronos263	SRX688139	KTC16	6
Kronos265	SRX688140	KTC16	6
Kronos278	SRX688141	KTC16	6
Kronos280	SRX688142	KTC16	6
Kronos281	SRX688143	KTC16	6
Kronos282	SRX688144	KTC16	6
Kronos283	SRX688145	KTC16	6
Kronos287	SRX688146	KTC17	6
Kronos293	SRX688147	KTC17	6
Kronos302	SRX688148	KTC17	6
Kronos308	SRX688149	KTC17	6
Kronos309	SRX688150	KTC17	6
Kronos323	SRX688152	KTC17	6
Kronos324	SRX688153	KTC17	6
Kronos329	SRX688154	KTC17	6
Kronos330	SRX688155	KTC18	6
Kronos331	SRX688156	KTC18	6
Kronos334	SRX688157	KTC18	6
Kronos336	SRX688158	KTC18	6
Kronos337	SRX688159	KTC18	6
Kronos338	SRX688160	KTC18	6
Kronos344	SRX688161	KTC18	6
Kronos349	SRX688162	KTC19	7
Kronos351	SRX688163	KTC19	7
Kronos352	SRX688164	KTC19	7
Kronos353	SRX688165	KTC19	7
Kronos355	SRX688166	KTC19	7
Kronos358	SRX688167	KTC19	7
Kronos364	SRX688168	KTC19	7
Kronos365	SRX688169	KTC19	7
Kronos367	SRX688170	KTC20	7
Kronos369	SRX688171	KTC20	7
Kronos370	SRX688172	KTC20	7
Kronos372	SRX688173	KTC20	7
Kronos373	SRX688174	KTC20	7
Kronos376	SRX688176	KTC20	7
Kronos377	SRX688177	KTC20	7
Kronos380	SRX688178	KTC20	7
Kronos382	SRX688180	KTC21	7
Kronos385	SRX688181	KTC21	7
Kronos387	SRX688182	KTC21	7
Kronos388	SRX688183	KTC21	7
Kronos391	SRX2434123	KTC21	7
Kronos392	SRX688186	KTC21	7
Kronos393	SRX688187	KTC21	7
Kronos397	SRX688188	KTC21	7
Kronos398	SRX688190	KTC22	8
Kronos401	SRX688192	KTC22	8
Kronos406	SRX688195	KTC22	8
Kronos408	SRX688197	KTC22	8
Kronos411	SRX688199	KTC22	8
Kronos413	SRX688201	KTC22	8
Kronos414	SRX688203	KTC22	8
Kronos417	SRX688205	KTC22	8
Kronos418	SRX688206	KTC23	8
Kronos420	SRX688207	KTC23	8
Kronos422	SRX688208	KTC23	8
Kronos423	SRX2434573	KTC23	8
Kronos427	SRX688210	KTC23	8
Kronos428	SRX688211	KTC23	8
Kronos429	SRX688212	KTC23	8
Kronos433	SRX2434125	KTC23	8
Kronos437	SRX688214	KTC24	8
Kronos442	SRX688217	KTC24	8
Kronos444	SRX688218	KTC24	8
Kronos445	SRX688219	KTC24	8
Kronos447	SRX688221	KTC24	8
Kronos450	SRX2434119	KTC24	8
Kronos451	SRX688223	KTC24	8
Kronos452	SRX688224	KTC24	8
Kronos0-2	SRX688080	KTC25	9
Kronos462	SRX688226	KTC25	9
Kronos463	SRX688227	KTC25	9
Kronos464	SRX688228	KTC25	9
Kronos465	SRX688229	KTC25	9
Kronos467	SRX688230	KTC25	9
Kronos468	SRX688231	KTC25	9
Kronos473	SRX688232	KTC25	9
Kronos474	SRX688233	KTC26	9
Kronos476	SRX688234	KTC26	9
Kronos478	SRX688235	KTC26	9
Kronos479	SRX688236	KTC26	9
Kronos481	SRX688237	KTC26	9
Kronos489	SRX688238	KTC26	9
Kronos490	SRX688239	KTC26	9
Kronos497	SRX688240	KTC26	9
Kronos508	SRX688242	KTC27	9
Kronos518	SRX688243	KTC27	9
Kronos520	SRX688244	KTC27	9
Kronos524	SRX688245	KTC27	9
Kronos533	SRX688246	KTC27	9
Kronos534	SRX688247	KTC27	9
Kronos537	SRX688248	KTC27	9
Kronos538	SRX688249	KTC27	9
Kronos548	SRX688250	KTC28	10
Kronos550	SRX688251	KTC28	10
Kronos554	SRX688252	KTC28	10
Kronos557	SRX688253	KTC28	10
Kronos559	SRX688254	KTC28	10
Kronos561	SRX688255	KTC28	10
Kronos562	SRX688256	KTC28	10
Kronos564	SRX688258	KTC28	10
Kronos565	SRX688259	KTC29	10
Kronos570	SRX688260	KTC29	10
Kronos571	SRX688261	KTC29	10
Kronos572	SRX688262	KTC29	10
Kronos573	SRX688263	KTC29	10
Kronos578	SRX688264	KTC29	10
Kronos579	SRX688265	KTC29	10
Kronos580	SRX688266	KTC29	10
Kronos583	SRX688268	KTC30	10
Kronos588	SRX688269	KTC30	10
Kronos590	SRX688270	KTC30	10
Kronos594	SRX688271	KTC30	10
Kronos596	SRX688272	KTC30	10
Kronos597	SRX688273	KTC30	10
Kronos598	SRX688274	KTC30	10
Kronos599	SRX688275	KTC30	10
Kronos600	SRX688276	KTC31	11
Kronos604	SRX688278	KTC31	11
Kronos608	SRX688279	KTC31	11
Kronos611	SRX688280	KTC31	11
Kronos634	SRX688283	KTC31	11
Kronos640	SRX688284	KTC31	11
Kronos646	SRX688285	KTC31	11
Kronos651	SRX688286	KTC31	11
Kronos652	SRX688287	KTC32	11
Kronos656	SRX688288	KTC32	11
Kronos661	SRX688289	KTC32	11
Kronos665	SRX688290	KTC32	11
Kronos670	SRX688291	KTC32	11
Kronos679	SRX688292	KTC32	11
Kronos681	SRX688293	KTC32	11
Kronos682	SRX688294	KTC32	11
Kronos683	SRX688295	KTC33	11
Kronos685	SRX688297	KTC33	11
Kronos689	SRX688298	KTC33	11
Kronos691	SRX688299	KTC33	11
Kronos692	SRX688300	KTC33	11
Kronos693	SRX688301	KTC33	11
Kronos695	SRX688302	KTC33	11
Kronos697	SRX688303	KTC33	11
Kronos699	SRX688304	KTC34	12
Kronos701	SRX688305	KTC34	12
Kronos706	SRX688306	KTC34	12
Kronos708	SRX688307	KTC34	12
Kronos712	SRX688308	KTC34	12
Kronos714	SRX688309	KTC34	12
Kronos716	SRX2434576	KTC34	12
Kronos758	SRX688311	KTC34	12
Kronos766	SRX688312	KTC35	12
Kronos771	SRX688313	KTC35	12
Kronos772	SRX688314	KTC35	12
Kronos774	SRX688315	KTC35	12
Kronos776	SRX688316	KTC35	12
Kronos791	SRX688317	KTC35	12
Kronos793	SRX688318	KTC35	12
Kronos794	SRX688319	KTC35	12
Kronos795	SRX688320	KTC36	12
Kronos798	SRX688321	KTC36	12
Kronos799	SRX688322	KTC36	12
Kronos802	SRX688323	KTC36	12
Kronos803	SRX688324	KTC36	12
Kronos805	SRX688325	KTC36	12
Kronos809	SRX688327	KTC36	12
Kronos810	SRX688328	KTC36	12
Kronos811	SRX688329	KTC37	13
Kronos820	SRX688330	KTC37	13
Kronos824	SRX688331	KTC37	13
Kronos826	SRX688332	KTC37	13
Kronos829	SRX688333	KTC37	13
Kronos833	SRX688334	KTC37	13
Kronos837	SRX688335	KTC37	13
Kronos842	SRX688336	KTC37	13
Kronos846	SRX688337	KTC38	13
Kronos847	SRX688338	KTC38	13
Kronos849	SRX688339	KTC38	13
Kronos852	SRX688340	KTC38	13
Kronos2241	SRX688518	KTC38	13
Kronos859	SRX688341	KTC38	13
Kronos860	SRX688342	KTC38	13
Kronos861	SRX688343	KTC38	13
Kronos863	SRX688344	KTC39	13
Kronos865	SRX2434116	KTC39	13
Kronos866	SRX688346	KTC39	13
Kronos867	SRX688347	KTC39	13
Kronos868	SRX2434575	KTC39	13
Kronos869	SRX2434117	KTC39	13
Kronos870	SRX688350	KTC39	13
Kronos872	SRX2434574	KTC39	13
Kronos873	SRX688352	KTC40	14
Kronos874	SRX688353	KTC40	14
Kronos877	SRX688354	KTC40	14
Kronos878	SRX688355	KTC40	14
Kronos879	SRX688356	KTC40	14
Kronos884	SRX688357	KTC40	14
Kronos890	SRX688358	KTC40	14
Kronos909	SRX688359	KTC40	14
Kronos912	SRX688361	KTC41	14
Kronos2322	SRX688525	KTC41	14
Kronos925	SRX688362	KTC41	14
Kronos929	SRX688363	KTC41	14
Kronos931	SRX688364	KTC41	14
Kronos932	SRX688365	KTC41	14
Kronos935	SRX688367	KTC41	14
Kronos2170	SRX688510	KTC41	14
Kronos942	SRX688368	KTC42	14
Kronos944	SRX688369	KTC42	14
Kronos961	SRX688370	KTC42	14
Kronos967	SRX688371	KTC42	14
Kronos974	SRX688372	KTC42	14
Kronos978	SRX688373	KTC42	14
Kronos983	SRX688374	KTC42	14
Kronos984	SRX688375	KTC42	14
Kronos996	SRX688376	KTC43	15
Kronos1000	SRX688377	KTC43	15
Kronos1002	SRX688378	KTC43	15
Kronos1017	SRX688379	KTC43	15
Kronos1024	SRX688381	KTC43	15
Kronos1025	SRX688382	KTC43	15
Kronos2486	SRX688535	KTC43	15
Kronos1027	SRX688383	KTC43	15
Kronos1037	SRX688384	KTC44	15
Kronos1038	SRX688385	KTC44	15
Kronos1051	SRX688386	KTC44	15
Kronos1060	SRX688387	KTC44	15
Kronos1061	SRX688388	KTC44	15
Kronos1064	SRX688389	KTC44	15
Kronos1065	SRX688390	KTC44	15
Kronos1067	SRX688391	KTC44	15
Kronos1070	SRX688392	KTC45	15
Kronos1071	SRX688393	KTC45	15
Kronos1090	SRX688394	KTC45	15
Kronos1096	SRX688395	KTC45	15
Kronos1099	SRX688396	KTC45	15
Kronos1107	SRX688397	KTC45	15
Kronos1110	SRX688398	KTC45	15
Kronos1112	SRX688399	KTC45	15
Kronos1137	SRX688400	KTC46	16
Kronos1138	SRX688401	KTC46	16
Kronos1143	SRX688402	KTC46	16
Kronos1146	SRX688403	KTC46	16
Kronos1159	SRX688404	KTC46	16
Kronos1161	SRX688405	KTC46	16
Kronos2529	SRX688538	KTC46	16
Kronos1164	SRX688406	KTC46	16
Kronos1166	SRX688407	KTC47	16
Kronos2536	#N/A	KTC47	#N/A
Kronos2447	#N/A	KTC47	#N/A
Kronos1170	SRX688408	KTC47	16
Kronos1171	SRX688409	KTC47	16
Kronos2551	SRX688542	KTC47	16
Kronos1179	#N/A	KTC47	#N/A
Kronos1180	#N/A	KTC47	#N/A
Kronos1181	SRX688413	KTC48	16
Kronos1186	SRX688414	KTC48	16
Kronos1193	SRX2434572	KTC48	16
