Sample	Cluster	Color
Kronos1000	1	#1F77B4FF
Kronos1002	2	#FF7F0EFF
Kronos1017	3	#2CA02CFF
Kronos1024	2	#FF7F0EFF
Kronos1025	4	#D62728FF
Kronos1027	5	#9467BDFF
Kronos1037	3	#2CA02CFF
Kronos1038	5	#9467BDFF
Kronos1051	5	#9467BDFF
Kronos1060	6	#8C564BFF
Kronos1061	7	#E377C2FF
Kronos1064	3	#2CA02CFF
Kronos1065	8	#7F7F7FFF
Kronos1067	5	#9467BDFF
Kronos1070	4	#D62728FF
Kronos1071	9	#BCBD22FF
Kronos1090	3	#2CA02CFF
Kronos1096	8	#7F7F7FFF
Kronos1099	8	#7F7F7FFF
Kronos110	10	#17BECFFF
Kronos1107	3	#2CA02CFF
Kronos1108	5	#9467BDFF
Kronos111	5	#9467BDFF
Kronos1110	8	#7F7F7FFF
Kronos1112	7	#E377C2FF
Kronos112	11	#AEC7E8FF
Kronos1137	8	#7F7F7FFF
Kronos1138	3	#2CA02CFF
Kronos1139	3	#2CA02CFF
Kronos114	10	#17BECFFF
Kronos1143	8	#7F7F7FFF
Kronos1146	12	#FFBB78FF
Kronos1159	5	#9467BDFF
Kronos1161	8	#7F7F7FFF
Kronos1164	3	#2CA02CFF
Kronos1166	3	#2CA02CFF
Kronos1170	4	#D62728FF
Kronos1171	11	#AEC7E8FF
Kronos1172	4	#D62728FF
Kronos118	4	#D62728FF
Kronos1181	13	#98DF8AFF
Kronos1186	12	#FFBB78FF
Kronos119	8	#7F7F7FFF
Kronos1193	4	#D62728FF
Kronos1194	4	#D62728FF
Kronos1211	7	#E377C2FF
Kronos1213	8	#7F7F7FFF
Kronos1214	4	#D62728FF
Kronos1222	4	#D62728FF
Kronos1225	7	#E377C2FF
Kronos1226	2	#FF7F0EFF
Kronos1227	4	#D62728FF
Kronos1232	6	#8C564BFF
Kronos1234	12	#FFBB78FF
Kronos1238	7	#E377C2FF
Kronos1242	2	#FF7F0EFF
Kronos1251	4	#D62728FF
Kronos1252	6	#8C564BFF
Kronos1253	8	#7F7F7FFF
Kronos1257	2	#FF7F0EFF
Kronos1270	5	#9467BDFF
Kronos1279	5	#9467BDFF
Kronos1280	3	#2CA02CFF
Kronos1281	8	#7F7F7FFF
Kronos1290	4	#D62728FF
Kronos1293	8	#7F7F7FFF
Kronos1294	8	#7F7F7FFF
Kronos1300	11	#AEC7E8FF
Kronos1304	11	#AEC7E8FF
Kronos1305	2	#FF7F0EFF
Kronos1308	8	#7F7F7FFF
Kronos1315	8	#7F7F7FFF
Kronos1324	5	#9467BDFF
Kronos1326	7	#E377C2FF
Kronos1331	5	#9467BDFF
Kronos1337	4	#D62728FF
Kronos1344	12	#FFBB78FF
Kronos1346	4	#D62728FF
Kronos1348	5	#9467BDFF
Kronos1360	5	#9467BDFF
Kronos1361	12	#FFBB78FF
Kronos1367	9	#BCBD22FF
Kronos1382	6	#8C564BFF
Kronos1388	3	#2CA02CFF
Kronos1393	6	#8C564BFF
Kronos1400	4	#D62728FF
Kronos1405	8	#7F7F7FFF
Kronos1410	8	#7F7F7FFF
Kronos1426	7	#E377C2FF
Kronos1431	12	#FFBB78FF
Kronos1434	7	#E377C2FF
Kronos1435	8	#7F7F7FFF
Kronos1440	8	#7F7F7FFF
Kronos1450	4	#D62728FF
Kronos157	5	#9467BDFF
Kronos160	4	#D62728FF
Kronos162	8	#7F7F7FFF
Kronos166	5	#9467BDFF
Kronos167	12	#FFBB78FF
Kronos169	12	#FFBB78FF
Kronos170	11	#AEC7E8FF
Kronos171	4	#D62728FF
Kronos176	5	#9467BDFF
Kronos177	4	#D62728FF
Kronos178	6	#8C564BFF
Kronos181	5	#9467BDFF
Kronos184	8	#7F7F7FFF
Kronos185	5	#9467BDFF
Kronos186	6	#8C564BFF
Kronos193	5	#9467BDFF
Kronos194	8	#7F7F7FFF
Kronos195	4	#D62728FF
Kronos198	5	#9467BDFF
Kronos199	11	#AEC7E8FF
Kronos2003	2	#FF7F0EFF
Kronos2005	2	#FF7F0EFF
