gene_id	Leaf1	Leaf2	Leaf3	Leaf4	Leaf5	Seed1	Seed2	Seed3	Seed4	Seed5	Seed6	Seed7	Seed8	Seed9	Meristem1	Meristem2	Meristem3	Meristem4	Meristem5	Meristem6	Meristem7	Meristem8	Meristem9	Meristem10	Meristem11	Meristem12	Meristem13	Meristem14	Meristem15	Meristem16
TrturKRN1A02G000670	1.413833072	0.777038739	1.074854921	0.40422474	0.574829239	0.175964509	0.063197147	0.06474737	0.004088108	0	0	0	0.05894573	0	0	0	0.330806479	0	0	0	0	0	0.11665039	0.01130243	0	0.022466181	0	0	0	0
TrturKRN1A02G001790	0.832965762	1.794063923	1.820145012	0.857009882	0.598226056	0.408423133	0.064834152	0.028167386	0.02958564	0.068662075	0.020512895	0.042802451	0.072935163	0.231359766	0	0.118584501	0	0	0.334899632	0	0.533287755	0.27342856	2.121099126	3.038140699	2.364860177	2.734345456	2.096599081	3.637343873	1.059019225	0.409342669
TrturKRN1A02G001830	3.43925768	3.646863951	4.302142718	2.797484054	3.717370582	5.123678751	3.033061417	3.008358257	3.251678417	4.479299565	4.175416473	3.657348168	3.388544675	4.440438425	4.098630982	4.235415606	3.966256394	2.728379281	3.296883502	4.365226546	3.612222422	4.36313635	12.67243926	14.92069394	14.88135229	15.91328582	14.13653241	16.86121647	12.83334571	11.00199647
TrturKRN1A02G001880	2.689666973	7.588568428	6.236055089	2.64074339	1.270109298	0.569173634	0.018471045	0.057286294	0.094232392	0.050256443	0.028489777	0.119663461	0.116486559	0.079365406	1.637953635	1.919033335	2.118726766	2.116343765	0.084481585	1.510526723	1.405923752	1.108711321	0.851859187	0.876805375	1.061125348	0.676880004	0.479405735	2.58425588	0.260364485	0.443782827
TrturKRN1A02G002120	1.02003657	3.527224803	5.556201193	1.383605447	3.147178033	1.747696995	0.752088279	0.847210126	0.709257359	0.88373169	0.616911366	0.327151121	0.974033511	1.134133537	0.524825163	0.261572388	0.080700269	0.325717775	0.820701535	0.122869443	0.58661892	0.453316342	3.942215492	5.160309966	3.439779387	3.9057917	4.066676934	1.88544459	1.989745511	1.575837307
TrturKRN1A02G002130	9.077979082	22.0368798	24.06024863	4.264633297	5.980269144	10.46138411	10.28233182	9.379568512	8.009247995	8.55895762	8.903727774	8.154957967	9.586985018	12.35329716	39.88657996	32.12324756	21.32018038	17.22849518	32.90684002	34.16773226	26.76368155	33.94336348	49.67426329	66.06472495	68.75329874	59.37883602	59.6821415	89.35235481	76.13363052	77.7975759
TrturKRN1A02G002350	2.120012243	2.918529224	2.969073229	0.403180354	1.524005996	1.480980819	2.644651663	2.425399718	2.243344595	1.396936307	1.043209355	0.87675888	1.036834854	0.809574854	1.425047968	1.485691692	1.472013051	0.976547673	0.619421106	1.568193463	1.185332167	1.513284201	7.205652298	9.324022983	8.405511411	8.703535317	8.514476903	11.24115105	9.218498329	8.110316131
TrturKRN1A02G002390	2.782397785	2.401674084	3.072537348	1.207688805	1.991396036	6.015714264	7.013187961	7.207909977	7.526387432	7.409103451	5.678673894	7.120543497	7.511407283	8.425249225	8.726790241	6.694677077	4.461272347	4.132791443	6.600170011	4.069771127	3.959316985	7.045300534	11.43840369	13.98074827	12.18825256	11.67111544	11.79637644	11.66499647	11.21163918	12.09980965
TrturKRN1A02G002750	1.061269663	6.147846751	6.165114133	0.501915862	1.166842201	0.050257937	0.12420566	0.423622932	0.812373446	0.276025902	0.265476896	0.286711423	0.205181862	0.048356457	0	0	0	0.181168213	0	0	0	0	0	0	0	0	0	0	0	0
TrturKRN1A02G003400	2.861944967	6.949269014	8.073050257	0.556603768	2.345782073	7.564039876	4.789463364	5.869587988	7.567056773	9.20961531	8.415336647	8.175312321	7.515419706	6.253816634	1.034319173	0.857111914	2.412491884	0.866810815	1.01731184	1.118592899	1.243251127	0.6831715	9.043468959	11.62041202	12.19642504	12.4693889	13.18267039	14.84483655	13.45678465	12.59262687
TrturKRN1A02G003430	0	0	0	0	0	0.096469741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095224844	0	0	0	0	0	0	0	0
TrturKRN1A02G003590	0	0	0	0	0	0	0	0	0	0	0	0	0.007317948	0.076937766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrturKRN1A02G003680	0	0.103475267	0.080150553	0	0	0.063068404	0	0	0	0	0.034594964	0	0.018969284	0.090683998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrturKRN1A02G003840	9.391635677	10.19717418	9.966946224	3.334359991	4.344544153	3.76990828	5.481988499	6.178126302	6.837137859	6.625936564	7.040886082	7.813088941	6.422321037	9.755267384	9.307220581	6.318150853	5.335453603	6.586070986	7.449428753	7.333665711	9.700151926	9.160560408	9.63249839	11.07410008	7.872727919	9.174373095	9.896886968	14.82666391	9.714360289	6.682228312
TrturKRN1A02G004050	10.09430449	15.13740682	13.33272512	6.111495153	9.413623603	7.510973609	5.895713664	7.176091251	7.08512394	6.548235931	3.744509976	2.592583898	4.909751452	5.075541975	31.52073202	33.07004536	28.64806179	26.06709406	28.96206029	35.61066106	30.9667395	30.33977251	33.60117077	38.98584683	40.83798612	39.71188441	38.83585822	55.23497608	51.09106105	49.46300977
TrturKRN1A02G004060	1.351771538	1.433910042	1.430521384	1.513093731	6.006095832	4.580561335	4.221900239	4.667127712	4.216575482	3.405347867	2.592788246	4.076037056	5.061051637	3.072221857	3.344135285	5.134620164	6.247754502	4.69670716	5.879472541	5.252121868	4.691536063	5.738829571	13.58941549	16.67229157	15.73391284	16.17450586	17.48781129	18.26754109	19.48313995	17.43528833
