gene_id	Leaf1	Leaf2	Leaf3	Leaf4	Leaf5	Endosperm1	Endosperm2	Endosperm3	Endosperm4	Endosperm5	Endosperm6	Endosperm7	Endosperm8	Endosperm9	Meristem1	Meristem2	Meristem3	Meristem4	Meristem5	Meristem6	Meristem7	Meristem8	Meristem9	Meristem10	Meristem11	Meristem12	Meristem13	Meristem14	Meristem15	Meristem16
TrturKRN1A02G000670	0.1959828921011315	0.101195017	0.153628839	0.114547326	0.113333509	0.02750486	0.104895995	0.088632557	0.04545069	0.039746825	0.041936134	0.05449418	0.051811878	0.064809906	0.020238302	0.02113411	0.020481823	0.017394329	0.019986085	0.019464255	0.018481475	0.016542007	0.033619918	0.010200278	0.014325117	0.01309512	0.01253603	0.0079043	0.008620461	0.012241055
TrturKRN1A02G001790	0.11753559634020894	0.218775602	0.182416589	0.193287068	0.110008708	0.066805023	0.114501389	0.079557261	0.031731727	0.142448209	0.080495537	0.110393121	0.137295647	0.235522996	0.020238302	0.02113411	0.020481823	0.017394329	0.036910767	0.019464255	0.045990607	0.017672639	0.269754498	0.312444091	0.280215684	0.304020475	0.263281483	0.295429829	0.13140235	0.085727169
TrturKRN1A02G001830	0.3373937523685777	0.332909569	0.341667373	0.378710716	0.43523234	0.491724899	0.51076101	0.506011323	0.522147537	0.53361888	0.561841352	0.552119336	0.520981319	0.57928161	0.238876326	0.261593321	0.241328927	0.160497478	0.212280397	0.269472952	0.232892677	0.240963646	0.600735513	0.641884505	0.645686313	0.66293112	0.630976046	0.640407416	0.537412801	0.550675048
TrturKRN1A02G001880	0.3210437983866602	0.483628556	0.423256208	0.367944692	0.214660791	0.081201072	0.079090774	0.121138229	0.142766269	0.112783868	0.105118636	0.188354785	0.145628803	0.185767901	0.099965211	0.116228909	0.11920334	0.125186989	0.020968864	0.066689859	0.072029918	0.064150287	0.157688103	0.179132293	0.19747043	0.146978432	0.116688202	0.239224424	0.043924564	0.091562558
TrturKRN1A02G002120	0.17408369877104646	0.365398198	0.448569088	0.261946856	0.365147637	0.227473336	0.333050614	0.36017048	0.341998685	0.358961854	0.319564895	0.272333072	0.348932381	0.401846865	0.052200383	0.022716994	0.021421117	0.030596626	0.065994086	0.019464255	0.037015133	0.036754218	0.366787596	0.403041447	0.341591293	0.356177318	0.368116986	0.195326384	0.215458476	0.196042545
TrturKRN1A02G002130	0.582480645	0.751052349	0.768680962	0.460194738	0.492862232	0.697735512	0.708721189	0.706113102	0.662051271	0.643328174	0.690538793	0.675409767	0.708763597	0.744025784	0.842442164	0.806401113	0.690050444	0.659419029	0.813289268	0.813706732	0.758323187	0.819464255	0.892555412	0.920808071	0.926846238	0.90883113	0.911353245	0.944882099	0.927535079	0.923476831
TrturKRN1A02G002350	0.26706729467814416	0.272904483	0.27366726	0.113887643	0.250705861	0.237193296	0.484128835	0.474247789	0.438667543	0.37730328	0.378056021	0.375151078	0.353915311	0.367888722	0.077474343	0.092520438	0.108853714	0.063071839	0.046373282	0.080918421	0.079335537	0.087232562	0.49401153	0.549672001	0.511156943	0.511877547	0.51253603	0.546484178	0.445850243	0.432667568
TrturKRN1A02G002390	0.350414163	0.247648106	0.227928921	0.241311977	0.284164973	0.569300688	0.641589449	0.651173639	0.609698692	0.615678209	0.614003096	0.650399695	0.649201671	0.679692967	0.473595408	0.380761872	0.294399026	0.253017916	0.375526178	0.24021569	0.257470864	0.364306836	0.584186463	0.62650333	0.593007653	0.588783421	0.588149786	0.529455452	0.505556882	0.5361131
TrturKRN1A02G002750	0.15191381083861188	0.42475351	0.436082154	0.131461593	0.233369396	0.018415384	0.176459363	0.260829923	0.345730582	0.255507729	0.226076631	0.246220394	0.131019274	0.128018914	0.020238302	0.02113411	0.020481823	0.01745521	0.019986085	0.019464255	0.018481475	0.016542007	0.008746645	0.009442401	0.014325117	0.012734818	0.01253603	0.0079043	0.008620461	0.012241055
TrturKRN1A02G003400	0.3451897569162471	0.456818374	0.501144165	0.140855477	0.347257039	0.622235065	0.575348275	0.614533195	0.648014249	0.679735375	0.68024427	0.677212103	0.672610844	0.632471746	0.051278483	0.072064707	0.146077579	0.063645851	0.070142634	0.101217603	0.068333623	0.043364063	0.548355034	0.584186463	0.598548852	0.606848226	0.611967001	0.577332166	0.579348028	0.559136362
TrturKRN1A02G003430	0.006604948	0.006356471	0.006709608	0.019856453	0.013734596	0.017995061	0.0380081	0.031540892	0.031731727	0.039746825	0.041936134	0.05449418	0.038824452	0.064809906	0.020238302	0.02113411	0.020481823	0.017394329	0.019986085	0.019464255	0.018481475	0.016924683	0.008746645	0.009442401	0.014325117	0.012734818	0.01253603	0.0079043	0.008620461	0.012241055
