1A	8830222	miR9666
1A	12767439	miR9666
1A	15033035	miR9666
1A	17005305	miR9666
1A	17936277	miR9666
1A	18852128	miR9666
1A	35189985	miR9666
1A	58444696	miR9666
1A	58446876	miR9666
1A	314741307	miR9664
1A	331398893	miR166
1A	370784079	miR9666
1A	370786596	miR171
1A	406953341	miR164
1A	441061589	Novel
1A	441061589	Novel
1A	497859869	miR164
1A	537696187	miR399
1A	537699756	miR399
1A	537811181	miR399
1A	538061073	miR399
1A	538070016	Novel
1A	538115437	miR399
1A	538245552	miR399
1A	538260065	miR399
1A	538402126	miR399
1A	558846892	miR2275
1A	558847037	miR2275
1A	558849126	miR2275
1A	558851561	Novel
1A	567356485	miR9666
1A	588272149	miR9666
1A	597074574	miR9666
1A	597417667	miR9666
1B	43787882	miR2118
1B	113647606	Novel
1B	113647606	Novel
1B	278788317	miR5181
1B	358147310	Novel
1B	374534866	miR166
1B	411658649	miR171
1B	449016532	miR164
1B	449722349	Novel
1B	449722349	Novel
1B	469714293	Novel
1B	548217056	miR164
1B	566655359	miR5049
1B	582976301	miR5049
1B	609887914	miR399
1B	609916390	miR399
1B	609975298	miR399
1B	609981368	miR399
1B	610066728	miR399
1B	610417326	miR399
1B	610530572	miR399
1B	610632842	miR399
1B	610663449	miR399
1B	610696115	miR399
1B	610768748	miR399
1B	670698897	miR2275
1B	670701011	miR2275
1B	679432054	miR1137
1B	679514879	miR1137
1B	679597709	miR1137
1B	679693342	miR1137
2A	12662974	miR9666
2A	70391718	miR164
2A	90582218	miR9666
2A	94991814	miR1130
2A	128498012	Novel
2A	193260604	Novel
2A	261575235	Novel
2A	286162931	Novel
2A	383200888	Novel
2A	536812145	miR482
2A	536948130	miR2118
2A	536956465	miR2118
2A	540007807	Novel
2A	603453303	miR827
2A	609839913	miR156
2A	664033908	miR399
2A	685644262	miR2118
2A	685663756	miR2118
2A	685741429	miR2118
2A	685773986	miR2118
2A	701176856	miR9666
2A	719172213	Novel
2A	723526349	miR171
2A	749538731	miR9652
2A	772499485	Novel
2A	773337189	miR396
2A	775507666	miR9666
2A	781581878	miR9666
2A	781582973	miR9666
2A	782442563	miR393
2A	789408460	miR9666
2B	11209987	Novel
2B	11209987	Novel
2B	117176845	miR164
2B	256122974	Novel
2B	256122974	Novel
2B	279376897	Novel
2B	300923681	Novel
2B	316295499	Novel
2B	394432477	Novel
2B	477857914	miR2118
2B	544824387	miR827
2B	553552631	miR156
2B	612987314	miR399
2B	643801958	miR2118
2B	643802141	miR2118
2B	644173219	miR2118
2B	644309973	miR2118
2B	644310076	miR482
2B	694736043	Novel
2B	703035750	miR171
2B	746375027	miR9652
2B	804876960	miR393
3A	6951232	miR9666
3A	8530106	miR9666
3A	8701194	miR9666
3A	8923423	miR9666
3A	8924424	miR9666
3A	9128520	miR9666
3A	9302395	miR9666
3A	10297381	miR9666
3A	11972382	miR9666
3A	12519071	miR9666
3A	32894503	miR393
