1A	29175178	miR2118_1
1A	314741292	miR9664
1A	331398893	miR166_1
1A	370784079	miR9666_1
1A	370786596	miR171_1
1A	423658187	Novel_1
1A	511948199	miR2118_2
1A	558851561	miR2275_1
1B	43523926	miR2118_3
1B	43766510	miR2118_4
1B	44091301	miR2118_5
1B	84664259	Novel_2
1B	374534866	miR166_2
1B	411658649	miR171_2
1B	454089752	Novel_3
1B	610066712	miR399
2A	40205934	Novel_4
2A	536948223	miR2118_6
2A	536956465	miR2118_7
2A	609839913	miR156_1
2A	685650019	miR2118_8
2A	685663756	miR2118_9
2A	685741429	miR2118_10
2A	695206875	miR169_1
2A	701176856	miR9666_2
2A	719172213	Novel_5
2A	723526349	miR171_3
2A	749538731	miR9652_1
2A	781582973	miR9666_3
2A	782442563	miR393_1
2B	37374158	miR2118_11
2B	477849321	miR2118_12
2B	477858107	miR2118_13
2B	553552631	miR156_2
2B	644105832	miR2118_14
2B	644173219	miR2118_15
2B	660031374	miR169_2
2B	694736043	Novel_6
2B	746071356	miR9652_2
2B	749845105	Novel_7
2B	804876960	miR393_2
3A	6951232	miR9666_6
3A	8923423	miR9666_5
3A	8924424	miR9666_4
3A	12632640	miR159_1
3A	32894503	miR393_3
3A	73235339	miR2275_2
3A	73238254	miR2275_3
3A	73243959	miR2275_4
3A	75380936	miR156_3
3A	75381129	miR156_4
3A	140025073	miR319_1
3A	160068954	Novel_8
3A	456739849	miR319_2
3A	714836401	miR9666_7
3A	749578146	miR172_1
3B	12025196	miR159_2
3B	52406879	miR393_4
3B	121891126	miR2275_5
3B	121897743	miR2275_6
3B	121897916	miR2275_7
3B	124612475	miR156_5
3B	124612668	miR156_6
3B	191157504	miR319_3
3B	223818880	miR9676
3B	261651298	Novel_9
3B	451396593	miR319_4
3B	850991248	miR172_2
4A	16096190	miR166_3
4A	561847668	miR171_4
4A	611896196	miR9772
4A	612066393	Novel_10
4A	617316833	miR9666_8
4A	621780407	miR169_4
4A	621799535	miR169_5
4A	621812093	miR169_6
4B	32483253	miR2118_16
4B	32501138	miR2118_17
4B	121877141	miR169_7
4B	581934314	miR167_1
4B	625652520	miR2118_18
4B	625731430	miR2118_19
4B	625733238	miR2118_20
4B	625742769	miR2118_21
4B	625744929	miR2118_22
4B	642278501	miR171_5
4B	675736030	Novel_11
4B	675736961	Novel_12
4B	675737338	miR9674_1
5A	57317740	miR167_2
5A	82876602	Novel_13
5A	447158416	miR156_7
5A	457800665	miR166_4
5A	482520135	miR9666_9
5A	586406195	miR166_5
5A	628617391	miR167_3
5A	655548167	miR390_1
5A	674052901	miR171_6
5A	699063869	miR9674_2
5B	25483031	miR2118_23
5B	25487447	miR2118_24
5B	25532983	miR2118_25
5B	25915191	miR2118_26
5B	25962337	miR2118_27
5B	78247259	miR167_4
5B	417564409	miR156_8
5B	430518892	miR166_6
5B	584583964	miR166_7
5B	636907806	miR167_5
5B	674799791	miR390_2
5B	678056616	miR5062
5B	689736023	Novel_15
5B	710911214	miR2118_28
5B	718775206	miR159_3
6A	8168382	miR9666_10
6A	23860402	miR9674_3
6A	34011489	Novel_16
6A	68015647	miR9655_1
6A	112064432	miR397_1
6A	132210701	miR156_9
6A	443019852	miR156_10
6A	473087588	miR394_1
6A	562789596	miR166_8
6A	598288215	miR396_1
6A	598375988	miR396_2
6A	610090085	miR172_3
6A	619190688	miR396_3
6A	623412098	Novel_17
6B	40742931	miR9674_4
6B	75375575	miR9658
6B	110602243	miR168
6B	127061490	miR9655_2
6B	177292472	miR397_2
6B	199716085	miR156_11
6B	450486664	miR156_12
6B	508227866	miR394_2
6B	637157598	miR166_9
6B	693313384	miR396_5
6B	693414626	miR396_4
6B	712360245	miR172_4
6B	725871973	miR396_6
7A	5479953	miR172_5
7A	38932607	Novel_18
7A	92233988	miR396_7
7A	458057116	miR2275_8
7A	458057419	Novel_19
7A	573674991	miR166_10
7A	700090082	Novel_20
7B	35324156	miR396_8
7B	79169180	miR2275_9
7B	116421210	Novel_21
7B	473163394	Novel_22
7B	523659153	miR166_11

7B	676747846	Novel_23
