DATASET_COLORSTRIP							
SEPARATOR TAB							
DATASET_LABEL	Chromosome membership 7 colors						
COLOR	#000000						
STRIP_WIDTH	25						
MARGIN	5						
BORDER_WIDTH	1						
BORDER_COLOR	#000000						
SHOW_INTERNAL	0						
							
LEGEND_TITLE	Chromosome membership						
LEGEND_SHAPES	1	1	1	1	1	1	1
LEGEND_COLORS	#dd3b3c	#ffc614	#f8ee52	#61bf81	#97d9e9	#4b78bc	#bd519e
LEGEND_LABELS	1A/B	2A/B	3A/B	4A/B	5A/B	6A/B	7A/B
							
							
DATA							
TrturKRN1A02G000670.1	#dd3b3c	1A	1				
TrturKRN1A02G001790.1	#dd3b3c	1A	1				
TrturKRN1A02G001830.1	#dd3b3c	1A	1				
TrturKRN1A02G001880.1	#dd3b3c	1A	1				
TrturKRN1A02G002120.1	#dd3b3c	1A	1				
TrturKRN1A02G002130.1	#dd3b3c	1A	1				
TrturKRN1A02G002350.1	#dd3b3c	1A	1				
TrturKRN1A02G002390.1	#dd3b3c	1A	1				
TrturKRN1A02G002750.1	#dd3b3c	1A	1				
TrturKRN1A02G003400.1	#dd3b3c	1A	1				
TrturKRN1A02G003430.1	#dd3b3c	1A	1				
TrturKRN1A02G003590.1	#dd3b3c	1A	1				
TrturKRN1A02G003680.1	#dd3b3c	1A	1				
TrturKRN1A02G003840.1	#dd3b3c	1A	1				
TrturKRN1A02G004050.1	#dd3b3c	1A	1				
TrturKRN1A02G004060.1	#dd3b3c	1A	1				
TrturKRN1A02G004270.1	#dd3b3c	1A	1				
TrturKRN1A02G004280.1	#dd3b3c	1A	1				
TrturKRN1A02G004920.1	#dd3b3c	1A	1				
TrturKRN1A02G005000.1	#dd3b3c	1A	1				
TrturKRN1A02G005090.1	#dd3b3c	1A	1				
TrturKRN1A02G005120.1	#dd3b3c	1A	1				
TrturKRN1A02G005160.1	#dd3b3c	1A	1				
TrturKRN1A02G005200.1	#dd3b3c	1A	1				
TrturKRN1A02G005510.1	#dd3b3c	1A	1				
TrturKRN1A02G005580.1	#dd3b3c	1A	1				
TrturKRN1A02G005610.1	#dd3b3c	1A	1				
TrturKRN1A02G005630.1	#dd3b3c	1A	1				
TrturKRN1A02G007020.1	#dd3b3c	1A	1				
TrturKRN1A02G017380.1	#dd3b3c	1A	1				
TrturKRN1A02G018430.1	#dd3b3c	1A	1				
TrturKRN1A02G024940.1	#dd3b3c	1A	1				
TrturKRN1A02G036640.1	#dd3b3c	1A	1				
TrturKRN1A02G038700.1	#dd3b3c	1A	1				
TrturKRN1A02G039680.1	#dd3b3c	1A	1				
TrturKRN1A02G044910.1	#dd3b3c	1A	1				
TrturKRN1A02G047170.1	#dd3b3c	1A	1				
TrturKRN1A02G051570.1	#dd3b3c	1A	1				
TrturKRN1A02G051580.1	#dd3b3c	1A	1				
TrturKRN1A02G051590.1	#dd3b3c	1A	1				
TrturKRN1A02G051600.1	#dd3b3c	1A	1				
TrturKRN1A02G051610.1	#dd3b3c	1A	1				
TrturKRN1A02G053240.1	#dd3b3c	1A	1				
TrturKRN1A02G059470.1	#dd3b3c	1A	1				
TrturKRN1A02G059850.1	#dd3b3c	1A	1				
TrturKRN1A02G060270.1	#dd3b3c	1A	1				
TrturKRN1A02G060280.1	#dd3b3c	1A	1				
TrturKRN1A02G060350.1	#dd3b3c	1A	1				
TrturKRN1A02G061610.1	#dd3b3c	1A	1				
TrturKRN1A02G064480.1	#dd3b3c	1A	1				
TrturKRN1A02G064810.1	#dd3b3c	1A	1				
TrturKRN1A02G064930.1	#dd3b3c	1A	1				
TrturKRN1B02G000010.1	#dd3b3c	1B	1				
TrturKRN1B02G000060.1	#dd3b3c	1B	1				
TrturKRN1B02G000080.1	#dd3b3c	1B	1				
TrturKRN1B02G000410.1	#dd3b3c	1B	1				
TrturKRN1B02G000460.1	#dd3b3c	1B	1				
