DATASET_COLORSTRIP
SEPARATOR SPACE
DATASET_LABEL NLR-IDs
COLOR #ff0000
DATA
TrturKRN1B02G058710.1 #7100ff
TrturKRN2A02G083980.1 #7100ff
TrturKRN2A02G084750.1 #7100ff
TrturKRN2A02G084860.1 #7100ff
TrturKRN2B02G006030.1 #7100ff
TrturKRN2B02G006440.1 #7100ff
TrturKRN2B02G013460.1 #7100ff
TrturKRN2B02G013720.1 #7100ff
TrturKRN2B02G076880.1 #7100ff
TrturKRN2B02G076940.1 #7100ff
TrturKRN2B02G077030.1 #7100ff
TrturKRN2B02G095550.1 #7100ff
TrturKRN2B02G097130.1 #7100ff
TrturKRN2B02G099270.1 #7100ff
TrturKRN3A02G001370.1 #7100ff
TrturKRN3A02G004580.1 #7100ff
TrturKRN3B02G001570.1 #7100ff
TrturKRN3B02G077830.1 #7100ff
TrturKRN3B02G084320.1 #7100ff
TrturKRN3B02G091590.1 #7100ff
TrturKRN3B02G092740.1 #7100ff
TrturKRN3B02G094020.1 #7100ff
TrturKRN3B02G095570.1 #7100ff
TrturKRN3B02G096300.1 #7100ff
TrturKRN3B02G097420.1 #7100ff
TrturKRN4A02G003300.1 #7100ff
TrturKRN4A02G041870.1 #7100ff
TrturKRN4A02G044930.1 #7100ff
TrturKRN4A02G048680.1 #7100ff
TrturKRN4A02G067710.1 #7100ff
TrturKRN4A02G068340.1 #7100ff
TrturKRN4A02G068370.1 #7100ff
TrturKRN4A02G068570.1 #7100ff
TrturKRN4A02G068980.1 #7100ff
TrturKRN4A02G072510.1 #7100ff
TrturKRN4A02G073100.1 #7100ff
TrturKRN4A02G073260.1 #7100ff
TrturKRN4A02G073300.1 #7100ff
TrturKRN4A02G073440.1 #7100ff
TrturKRN4A02G073590.1 #7100ff
TrturKRN4A02G074060.1 #7100ff
TrturKRN4A02G075100.1 #7100ff
TrturKRN4B02G014600.1 #7100ff
TrturKRN4B02G014820.1 #7100ff
TrturKRN4B02G020220.1 #7100ff
TrturKRN4B02G052075.1 #7100ff
TrturKRN5A02G026420.1 #7100ff
TrturKRN5A02G047640.1 #7100ff
TrturKRN5A02G047690.1 #7100ff
TrturKRN5B02G001250.1 #7100ff
TrturKRN5B02G001320.1 #7100ff
TrturKRN5B02G001430.1 #7100ff
TrturKRN5B02G001490.1 #7100ff
TrturKRN5B02G001530.1 #7100ff
TrturKRN5B02G001820.1 #7100ff
TrturKRN5B02G001910.1 #7100ff
TrturKRN5B02G003170.1 #7100ff
TrturKRN5B02G005190.1 #7100ff
TrturKRN5B02G030790.1 #7100ff
TrturKRN5B02G050890.1 #7100ff
TrturKRN5B02G050930.1 #7100ff
TrturKRN5B02G053430.1 #7100ff
TrturKRN5B02G074130.1 #7100ff
TrturKRN5B02G074590.1 #7100ff
TrturKRN5B02G074630.1 #7100ff
TrturKRN5B02G078870.1 #7100ff
TrturKRN5B02G086210.1 #7100ff
TrturKRN6A02G009830.1 #7100ff
TrturKRN6B02G000150.1 #7100ff
TrturKRN6B02G002510.1 #7100ff
TrturKRN6B02G007170.1 #7100ff
TrturKRN6B02G013050.1 #7100ff
TrturKRN6B02G013060.1 #7100ff
TrturKRN6B02G013200.1 #7100ff
TrturKRN6B02G013230.1 #7100ff
TrturKRN6B02G018375.1 #7100ff
TrturKRN6B02G073780.1 #7100ff
TrturKRN7A02G001080.1 #7100ff
TrturKRN7A02G001110.1 #7100ff
TrturKRN7A02G003530.1 #7100ff
TrturKRN7A02G003620.1 #7100ff
TrturKRN7A02G085410.1 #7100ff
TrturKRN7A02G085440.1 #7100ff
TrturKRN7A02G085490.1 #7100ff
TrturKRN7B02G000470.1 #7100ff
TrturKRN7B02G058770.1 #7100ff
TrturKRN7B02G081430.1 #7100ff
TrturKRN7B02G081470.1 #7100ff
TrturKRN7B02G082110.1 #7100ff
