Chromosome	Start
1A	5637081
1A	5644501
1A	8981997
1A	20529721
1A	20659148
1A	20660742
1A	20710157
1A	20716573
1A	20876693
1A	20941788
1A	21342085
1A	21342836
1A	21349927
1A	26882085
1A	26906708
1A	26927215
1A	27144657
1A	27197243
1A	27208279
1A	27214245
1A	27351080
1A	27353181
1A	27354685
1A	27358167
1A	27359097
1A	28201721
1A	28215250
1A	28219448
1A	28226916
1A	28246400
1A	28524088
1A	28632472
1A	28645566
1A	28683076
1A	28695681
1A	28714876
1A	28717944
1A	28723647
1A	28730700
1A	28770326
1A	28807659
1A	28856104
1A	28875604
1A	28879173
1A	28882726
1A	28967406
1A	28968798
1A	28980140
1A	28993534
1A	29035623
1A	29060631
1A	29062547
1A	31485759
1A	31761293
1A	31914121
1A	32064393
1A	32121649
1A	32174404
1A	32459212
1A	32485746
1A	32955263
1A	34474220
1A	34505802
1A	34510455
1A	34512311
1A	34513890
1A	55832668
1A	55834591
1A	55838502
1A	55843001
1A	55845001
1A	55851454
1A	55858284
1A	59511757
1A	59537027
1A	59554039
1A	59581943
1A	98509273
1A	352305770
1A	352310208
1A	352591829
1A	352597664
1A	352601226
1A	352871775
1A	352881637
1A	374125661
1A	385116553
1A	385123117
1A	385125079
1A	385126840
1A	385208815
1A	389547928
1A	439535052
1A	441063526
1A	441328590
1A	441331661
1A	441454447
1A	442007529
1A	442013906
1A	442026223
1A	442035339
1A	442382223
1A	442388962
1A	442390929
1A	496463285
1A	496479503
1A	496524364
1A	496527644
1A	497095899
1A	497097751
1A	497107496
1A	497109523
1A	498302247
1A	498335379
1A	498385842
1A	498421251
1A	498436147
1A	498439105
1A	498456054
1A	498580304
1A	504681747
1A	508523481
1A	508536487
1A	508541816
1A	508548548
1A	508608665
1A	508611987
1A	508712497
1A	508738045
1A	508844806
1A	508848730
1A	508894165
1A	509086374
1A	509109286
1A	509163324
1A	509175866
1A	509184925
1A	509186950
1A	509193938
1A	509207869
1A	509222129
1A	509226144
1A	509230647
1A	509271942
1A	509332473
1A	514287133
1A	514301866
1A	514304348
1A	514927433
1A	514933667
1A	517109680
1A	517158799
1A	517328001
1A	517329072
1A	517355028
1A	517358485
1A	517390459
1A	517395185
1A	517439172
1A	517457847
1A	517459291
1A	517476743
1A	517500419
1A	517582058
1A	517586448
1A	517614232
1A	517701594
1A	517979960
1A	517990620
1A	518060192
1A	518062462
1A	518121006
1A	518200125
1A	518421312
1A	518457504
1A	518469415
1A	518514541
1A	518522197
1A	518551584
1A	518553172
1A	518567064
1A	518578347
1A	518580378
1A	518637684
1A	518896888
1A	518909263
1A	518954297
1A	518955394
1A	518979277
1A	518987364
1A	518991750
1A	518992467
1A	519059209
1A	519089042
1A	519102345
1A	519106159
1A	519111011
1A	519185582
1A	519204792
1A	519217511
1A	519290150
1A	519296935
1A	519368401
1A	519410844
1A	523836418
1A	523852256
1A	523942676
1A	523946183
1A	523949266
1A	536633707
1A	536681930
1A	536693091
1A	537190200
1A	537196753
1A	537209346
1A	537226900
1A	537341196
1A	537456041
1A	537500412
1A	537541237
1A	537604477
1A	537628378
1A	537644804
1A	537697253
1A	537777932
1A	537795040
1A	537807498
1A	537815501
1A	537936341
1A	537956868
1A	538020971
1A	538059268
1A	538068191
1A	538112680
1A	538202306
1A	538218131
1A	538245454
1A	538256601
1A	538281120
1A	538288150
1A	538318295
1A	538319395
1A	538384566
1A	538509661
1A	538538339
1A	538701100
1A	538735733
1A	538742680
1A	538747816
1A	538759302
1A	538788822
1A	538830064
1A	538838684
1A	538930860
1A	538944213
1A	540025535
1A	540033970
1A	540128142
1A	540205942
1A	540218929
1A	540254420
1A	541373225
1A	541763488
1A	542095609
1A	542223279
1A	542682469
1A	542689800
1A	546653820
1A	546669555
1A	546674244
1A	546854120
1A	546855567
1A	546860897
1A	546905792
1A	546908860
1A	546967405
1A	546982839
1A	546985197
1A	546986608
1A	547111204
1A	547112886
1A	553037629
1A	553049770
1A	553055685
1A	553061700
1A	553096984
1A	553107944
1A	553155994
1A	563694676
1A	563716554
1A	563722762
1A	567925045
1A	567927590
1A	567930246
1A	567949878
1A	567952470
